lat,lon,fishing_hours
-16.6,-79.5,282.3793
-3.1,-85.3,280.4279
-3.6,-84.9,280.0729
-5.2,-85.6,279.9375
-4.9,-85.1,279.1465
-20.0,-74.9,279.0212
-17.3,-79.7,278.6719
-19.1,-77.9,278.5374
-10.7,-82.0,278.3313
-6.1,-84.8,278.0044
-4.6,-85.7,277.9705
-9.0,-79.2,277.9402
-4.2,-85.9,277.7041
-2.6,-85.5,277.6816
-19.1,-77.7,277.5339
-8.5,-79.8,277.4458
-13.2,-84.0,276.6893
-6.8,-85.6,276.4835
-12.9,-77.1,276.3798
-7.9,-79.7,275.61220000000003
-8.6,-79.1,275.4591
-11.5,-77.7,274.648
-9.8,-79.3,274.1391
-13.0,-76.9,273.9341
-8.2,-79.5,272.3913
-16.8,-72.8,272.367
-17.5,-79.5,272.2961
-19.4,-75.7,272.1849
-11.7,-77.5,271.7926
-6.9,-80.8,271.6347
-16.4,-83.9,270.5534
-17.2,-79.7,270.4492
-3.1,-85.2,269.6807
-19.0,-77.9,269.4388
-16.9,-80.1,269.3032
-9.5,-79.8,269.0915
-5.4,-85.7,268.9429
-3.1,-85.4,268.6644
-3.3,-85.6,268.4393
-9.0,-79.1,268.3264
-16.0,-80.1,268.259
-17.7,-78.9,267.3007
-18.3,-70.9,267.2722
-9.9,-79.2,266.9481
-9.7,-79.3,266.5545
-13.5,-76.9,266.4883
-9.0,-79.0,266.4278
-19.8,-75.5,266.0652
-8.3,-79.5,265.761
-3.5,-85.6,265.6404
-9.3,-79.5,265.3497
-12.4,-77.1,265.2058
-3.0,-85.3,264.9735
-15.9,-79.9,264.8989
-16.6,-79.7,264.6203
-19.3,-77.8,264.5438
-8.0,-79.8,264.5208
-15.8,-80.0,264.17470000000003
-12.8,-81.6,264.0411
-17.6,-79.0,263.762
-7.4,-80.3,263.3644
-13.5,-76.8,263.1988
-5.5,-84.9,262.6108
-4.0,-85.2,262.3594
-13.3,-81.0,262.2338
-19.1,-75.8,262.005
-17.0,-79.8,261.2335
-10.5,-81.8,261.229
-11.2,-81.7,261.0612
-5.7,-85.4,260.6827
-3.4,-85.9,260.4681
-9.1,-79.7,259.9864
-3.3,-85.7,259.9776
-5.4,-85.6,259.6585
-17.3,-79.6,259.2471
-14.7,-81.9,259.2167
-2.8,-85.6,259.1712
-4.1,-85.7,259.062
-9.3,-79.2,258.7858
-19.9,-76.2,258.7246
-7.5,-80.1,258.5481
-16.2,-80.3,258.414
-2.8,-84.7,258.0309
-17.4,-79.4,257.2029
-16.9,-79.8,256.7507
-2.4,-85.7,256.5163
-6.5,-85.5,256.1022
-5.7,-85.7,255.8225
-4.1,-86.0,255.0338
-16.9,-79.3,253.5975
-5.1,-85.0,253.4372
-19.2,-75.7,253.2327
-3.9,-85.4,252.9004
-4.6,-85.4,252.7298
-11.8,-77.9,252.504
-15.3,-75.3,252.423
-12.6,-77.0,252.3212
-9.6,-78.8,252.088
-3.7,-85.1,252.0068
-13.7,-76.7,251.5489
-17.6,-79.1,250.2859
-3.2,-85.5,249.6675
-17.5,-79.0,249.6045
-17.4,-79.8,249.5832
-16.9,-79.9,249.2495
-10.4,-78.3,247.1959
-17.2,-79.9,246.9551
-11.4,-78.0,246.9108
-3.8,-85.8,246.89770000000001
-13.4,-85.1,246.8413
-5.7,-85.3,246.8064
